column,dtype,%missing,n_unique,sample_values
BsmtCond,float,0.0%,5,"3.0, 4.0, 0.0"
BsmtExposure,float,0.0%,5,"1.0, 4.0, 2.0"
BsmtFinType1,float,0.0%,7,"6.0, 5.0, 1.0"
BsmtFinType2,float,0.0%,7,"1.0, 4.0, 0.0"
BsmtQual,float,0.0%,5,"4.0, 3.0, 5.0"
CentralAir,float,0.0%,2,"1.0, 0.0"
ExterCond,float,0.0%,5,"3.0, 4.0, 2.0"
ExterQual,float,0.0%,4,"4.0, 3.0, 5.0"
FireplaceQu,float,0.0%,6,"0.0, 3.0, 4.0"
Functional,float,0.0%,7,"7.0, 6.0, 3.0"
GarageCond,float,0.0%,6,"3.0, 2.0, 0.0"
GarageQual,float,0.0%,6,"3.0, 2.0, 4.0"
GarageYrBlt,float,5.5%,97,"2003.0, 1976.0, 2001.0"
HeatingQC,float,0.0%,5,"5.0, 4.0, 3.0"
KitchenQual,float,0.0%,4,"4.0, 3.0, 5.0"
LandSlope,float,0.0%,3,"2.0, 1.0, 0.0"
LotFrontage,float,17.7%,110,"65.0, 80.0, 68.0"
LotShape,float,0.0%,4,"3.0, 2.0, 1.0"
MasVnrArea,float,0.5%,327,"196.0, 0.0, 162.0"
PavedDrive,float,0.0%,3,"2.0, 0.0, 1.0"
PoolQC,float,0.0%,4,"0.0, 5.0, 2.0"
1stFlrSF,int,0.0%,753,"856, 1262, 920"
2ndFlrSF,int,0.0%,417,"854, 0, 866"
3SsnPorch,int,0.0%,20,"0, 320, 407"
BedroomAbvGr,int,0.0%,8,"3, 4, 1"
BsmtFinSF1,int,0.0%,637,"706, 978, 486"
BsmtFinSF2,int,0.0%,144,"0, 32, 668"
BsmtFullBath,int,0.0%,4,"1, 0, 2"
BsmtHalfBath,int,0.0%,3,"0, 1, 2"
BsmtUnfSF,int,0.0%,780,"150, 284, 434"
EnclosedPorch,int,0.0%,120,"0, 272, 228"
Fireplaces,int,0.0%,4,"0, 1, 2"
FullBath,int,0.0%,4,"2, 1, 3"
GarageArea,int,0.0%,441,"548, 460, 608"
GarageCars,int,0.0%,5,"2, 3, 1"
GrLivArea,int,0.0%,861,"1710, 1262, 1786"
HalfBath,int,0.0%,3,"1, 0, 2"
Id,int,0.0%,1460,"1, 2, 3"
KitchenAbvGr,int,0.0%,4,"1, 2, 3"
LotArea,int,0.0%,1073,"8450, 9600, 11250"
LowQualFinSF,int,0.0%,24,"0, 360, 513"
MSSubClass,int,0.0%,15,"60, 20, 70"
MiscVal,int,0.0%,21,"0, 700, 350"
MoSold,int,0.0%,12,"2, 5, 9"
OpenPorchSF,int,0.0%,202,"61, 0, 42"
OverallCond,int,0.0%,9,"5, 8, 6"
OverallQual,int,0.0%,10,"7, 6, 8"
PoolArea,int,0.0%,8,"0, 512, 648"
SalePrice,int,0.0%,663,"208500, 181500, 223500"
ScreenPorch,int,0.0%,76,"0, 176, 198"
TotRmsAbvGrd,int,0.0%,12,"8, 6, 7"
TotalBsmtSF,int,0.0%,721,"856, 1262, 920"
WoodDeckSF,int,0.0%,274,"0, 298, 192"
YearBuilt,int,0.0%,112,"2003, 1976, 2001"
YearRemodAdd,int,0.0%,61,"2003, 1976, 2002"
YrSold,int,0.0%,5,"2008, 2007, 2006"
Alley,object,93.8%,2,"Grvl, Pave"
BldgType,object,0.0%,5,"1Fam, 2fmCon, Duplex"
Condition1,object,0.0%,9,"Norm, Feedr, PosN"
Condition2,object,0.0%,8,"Norm, Artery, RRNn"
Electrical,object,0.1%,5,"SBrkr, FuseF, FuseA"
Exterior1st,object,0.0%,15,"VinylSd, MetalSd, Wd Sdng"
Exterior2nd,object,0.0%,16,"VinylSd, MetalSd, Wd Shng"
Fence,object,80.8%,4,"MnPrv, GdWo, GdPrv"
Foundation,object,0.0%,6,"PConc, CBlock, BrkTil"
GarageFinish,object,5.5%,3,"RFn, Unf, Fin"
GarageType,object,5.5%,6,"Attchd, Detchd, BuiltIn"
Heating,object,0.0%,6,"GasA, GasW, Grav"
HouseStyle,object,0.0%,8,"2Story, 1Story, 1.5Fin"
LandContour,object,0.0%,4,"Lvl, Bnk, Low"
LotConfig,object,0.0%,5,"Inside, FR2, Corner"
MSZoning,object,0.0%,5,"RL, RM, C (all)"
MasVnrType,object,59.7%,3,"BrkFace, Stone, BrkCmn"
MiscFeature,object,96.3%,4,"Shed, Gar2, Othr"
Neighborhood,object,0.0%,25,"CollgCr, Veenker, Crawfor"
RoofMatl,object,0.0%,8,"CompShg, WdShngl, Metal"
RoofStyle,object,0.0%,6,"Gable, Hip, Gambrel"
SaleCondition,object,0.0%,6,"Normal, Abnorml, Partial"
SaleType,object,0.0%,9,"WD, New, COD"
Street,object,0.0%,2,"Pave, Grvl"
Utilities,object,0.0%,2,"AllPub, NoSeWa"
